Name,Type,Tier,Apex,Starter,Biome:Desert,Biome:Forest,Biome:Grasslands,Biome:IceAge,Biome:Ocean,Biome:Rainforest,Biome:Savanna,Biome:Taiga,Biome:Wetlands,Hash
Rhesus Macaque,Animal,3,1,,,1,,,,,,,,d4be38d3c46803842845956c345a80bc
South China Tiger,Animal,3,1,,,1,,,,,,,,54d56634a1df75c44bbf0c907606a7fb
Moss Agate,Mineral,1,,1,,1,,,,,,,,e5ab68b9e5bb8924495bb4a9f40851cf
Mossy Stone,Mineral,1,,1,,1,,,,,,,,3d43b2546e23d304fb9e0d75a76bd67c
Sandstone,Mineral,1,,,,1,,,,,,,,74537989755600d41a20d6697bfc9ac7
Amber,Mineral,1,,,,1,,1,,,,,,e7731e67d9e4b0c4da9956afa709d30a
Tin,Mineral,1,,,,1,,,,,,1,,6a0e57e0dd4af684c967615a71af9748
Antimony,Mineral,1,1,,,1,,,,,,,,4b4b5f65b1f3aa647879ff15d17286f1
Feldspar,Mineral,2,,,,1,1,,,,,,,762c1d6daa06ab1498ac55fe14b69d73
Kaolin,Mineral,2,,,,1,,,,,,,,46b760a49f933d84c8cccb152ba758de
Spinel,Mineral,2,,,,1,,,,,1,,,6a4d0b067a59f5143995b9d3174d737e
Jade (Imperial),Mineral,2,1,,,1,,,,,,,,14152449eee9c054f82e3ca0abd65b21
Spectrolite,Mineral,2,1,,,1,,,,,,,,6bbff14740fed284c9bb48adbc7d6b3d
Zinc,Mineral,2,1,,,1,,,,,,,,b5349d0d40b40274ba496be045622e30
Leaf Turquoise,Mineral,3,,,,1,,,,,,,,5a73f51d840da7148afc679a16dc105c
Onyx,Mineral,3,,,,1,,,,1,,,,b21e79312cfd8804b8b0708abcaef4cd
Sky Pillar,Mineral,3,,,,1,,,,,,,,e0c6d20e4944628499c46b9496b6ed5e
Coal,Mineral,3,1,,,1,,,,,,,,619bb19ec2d0ed349a7cb86c2d112275
Emerald,Mineral,3,1,,,1,,,,,,,,14495b8cd3cc6e9468729ed857468cb8
Phosphorus,Mineral,3,1,,,1,,,,,,,,d408d06c5b44c5c4781bdc390ab743c4
Sedge,Plant,1,,1,,,,1,,,,,,b6c075659ca8bbf4db20fda69c0f126d
Alder,Plant,1,,,,,,1,,,,,,1400cde16f626ee449017c3c9d4fb96d
Dandelion,Plant,1,,,,,,1,,,,,,cb854572d36790444a816ca5d479606c
Fireweed,Plant,1,,,,,,1,,,,,,dd2700ad4f8712149b41812063fee916
Carrot,Plant,1,,1,,,,1,,,,1,,67defcd5fe748dd41b919dce9c02ac16
Rosemary,Plant,2,,,,,,1,,,,,,233f6a44c1490874c9e3fba1182cb936
Wooly Willow,Plant,2,,,,,,1,,,,,,4248297d34f7ba342a6e675fda3f6962
Cloudberry,Plant,2,,,,,,1,,,,1,,c5b6a9ba504649548a1bbc7a3e68ddc9
Bog Orchid,Plant,2,1,,,,,1,,,,,,8b85eac684dc81c4fa47ad3fcd576d44
Juniper,Plant,2,1,,,,,1,,,,,,4dde89c00063d1d45ac923ae9617fb35
Onion,Plant,2,1,,,,,1,,,,,,a5d2f1d5507e6f648ab5385312234ced
Chokecherry,Plant,3,,,,,,1,,,,,,cc3b94e30a914244aa786b495956c979
Wollemi Pine,Plant,3,,,,,,1,,,,,,d742bdd32fb61fa4eb9f07608a7518e4
Siberian Pine,Plant,3,,,,,,1,,,,1,,ea17b12229af15044bebc585c17d40aa
Artichoke,Plant,3,1,,,,,1,,,,,,9fd931ce63cf16b4e89c0e4f0c3d7833
Stone Pine,Plant,3,1,,,,,1,,,,,,3114b6f6b62d73148916e8de68ed8982
Ground Squirrel,Animal,1,,1,,,,1,,,,,,16609cee378912746a32684ced00dd93
Mink,Animal,1,,1,,,,1,,,,,,bab5ec8ee820e064e8e938fa4fbdbabd
Casteroides,Animal,1,,,,,,1,,,,,,117912070bbea82478c681b28f1cdae7
Caribou,Animal,1,,,,,,1,,,,1,,485abd007d35ff84583846695c2edcad
Red-Backed Vole,Animal,1,,,,,,1,,,,1,,691fdf3d4940b49459c2973aa1592136
Arctic Fox,Animal,1,1,,,,,1,,,,,,9c6d46017f8e90841b7583f8782d9f9e
Steppe Bison,Animal,1,1,,,,,1,,,,,,45038ca23f4bc1b409602725cc017570
Hagerman Horse,Animal,2,,,,,,1,,,,,,929486d5293e83940a2d38ad4e560a95
Wolverine,Animal,2,,,,,,1,,,,,,a6dca47a16834ce4d8672af23479696a
Snowshoe Hare,Animal,2,,,,,,1,,,,1,,99be9a02aa0f74e40b419e80bfa9970b
Dire Wolf,Animal,2,1,,,,,1,,,,,,f07abede38f23cf449141e10cba532bb
Giant Sloth,Animal,2,1,,,,,1,,,,,,3b588a105461bf04488b4d50973c336b
Glyptodon,Animal,2,1,,,,,1,,,,,,49339fb64240371498ac2d3650f88464
Haast's Eagle,Animal,3,,,,,,1,,,,,,e264f4020fd4b96449e1214f5ba6706d
Saiga Antelope,Animal,3,,,,,,1,,,1,,,f82e33e90faae1749af1a267c971ee18
Black Bear,Animal,3,,,,,,1,,,,1,,42bff7ae42b209842936791641929cf0
Cave Bear,Animal,3,1,,,,,1,,,,,,7eb38da39d609df4b8e7667f1a308010
Mammoth,Animal,3,1,,,,,1,,,,,,eb3e6102bb709064aaece71f37200a09
Musk Ox,Animal,3,1,,,,,1,,,,,,febcea625d3eda744a2a77ba523cbd2e
Smilodon,Animal,3,1,,,,,1,,,,,,eb3e52dd1c26f7d48b2ebf045580b0f7
Woolly Rhino,Animal,3,1,,,,,1,,,,,,d517c7ac8170cab4e8171d8e4753a629
Slate,Mineral,1,,1,,,,1,,,,,,bb5af94e1304fc546bb18bff252673f4
Bone,Mineral,1,,,,,,1,,,,,,cd0b8648e59d7504381817c53d04adb3
Jadeite,Mineral,1,,,,,,1,,,,,,50be9a500650aee4a9f1977cda905d8c
Mudpool,Mineral,1,,,,,,1,,,1,,,719ce31427b970941b8078041345dff2
Labradorite,Mineral,1,,,,,,1,,,,1,,07b860d920d7ede4a8da0e8d3f8af17e
Primal Flint,Mineral,1,1,,,,,1,,,,,,1316fbdd92928114c8a49e0a69cc2b7b
Arsenic,Mineral,2,,,,,,1,,,1,,,2646248c961cfb6478f3d55d7c42cb4a
Jet,Mineral,2,,,,,,1,,,-1,,1,bc7e3c317625cf543bbe0345723acdc5
Permafrost,Mineral,2,1,,,,,1,,,,,,e48eccdf69fa87644acf64f01476b8b3
Primal Hematite,Mineral,2,1,,,,,1,,,,,,6205ad174ed33f34283493f7af15a54a
Primal Obsidian,Mineral,2,1,,,,,1,,,,,,c07413438aef3d84a902cb70d0eea6a9
Sakhalin Amber,Mineral,2,1,,,,,1,,,,,,8cdc745eff3c4054aaff70172ffbbc93
Glacial Erratics,Mineral,3,,,,,,1,,,,,,3e04da0b04b59cf4287fe0676be3b57f
Kettle Lake,Mineral,3,,,,,,1,,,,,,8e4ad93b90838c44399855a84d7d8d18
Geyser,Mineral,3,1,,,,,1,,,,,,2d68dc6a2e089734b825e82f5264ef4d
Glacier,Mineral,3,1,,,,,1,,,,,,f1d3f9143546e3a45b3694f16384ea2e
Ochre,Mineral,3,1,,,,,1,,,,,,1686997a76cc18c4f916683610585193
Tar Pit,Mineral,3,1,,,,,1,,,,,,e28694f6955848b4697165cdfd82d5b8
Kelp,Plant,1,,1,,,,,1,,,,,d07bdf4b2972af44e86b7bb0c7e197f1
Sea Anemone,Plant,1,,1,,,,,1,,,,,c738fa0381993e74a82b64b5b022f73a
Red Algae,Plant,1,,,,,,,1,,,,,ba83d83ee83597a46a3a02fd16d55c4d
Seagrass,Plant,1,,,,,,,1,,,,,cdcbda3e5333a204c8de8ad3e997d1f0
White-Plumed Anemone,Plant,1,1,,,,,,1,,,,,4a1a1a5b907618743bc91e238343fb4e
Sun Coral,Plant,2,,,,,,,1,,,,,b9416630d5d6bed40bfb06f4e0cfd91d
Turtlegrass,Plant,2,,,,,,,1,,,,1,5bd2d43bc8b90104b9fc1de1fb35a264
Red Sea Whip,Plant,2,1,,,,,,1,,,,,7c72d930309868b43bcaa442f5b354bb
Sargassum,Plant,2,1,,,,,,1,,,,,258a124208d2f19448beeff953a0a73b
Finger Coral,Plant,3,,,,,,,1,,,,,261f7dbe0b20d7d4384039882989b909
Open Brain Coral,Plant,3,,,,,,,1,,,,,da8b076e43b30e94b961dca52e5734e0
Christmas Tree Coral,Plant,3,1,,,,,,1,,,,,9c144ba0dd6fc2e4da130abb95694461
Staghorn Coral,Plant,3,1,,,,,,1,,,,,c1d0fa1e924e5a84b8696a87a5fd1245
Clownfish,Animal,1,,1,,,,,1,,,,,9aa0aae0278d3e240bbb186c394ccd54
Herring,Animal,1,,1,,,,,1,,,,,f6b820dff5f4a8849860aade2dbe0da6
Anchovy,Animal,1,,,,,,,1,,,,,e0ccc8a1cdf235441b0eabaab03639ec
Jellyfish,Animal,1,,,,,,,1,,,,,d5a0111fdf96c184ab6a3f67a6a73e37
Sea Krait,Animal,1,,,,,,,1,,,,,d0e82c1b916dc4249856f68d4d4ac811
Seabass,Animal,1,,,,,,,1,,,,,a7775d9a8bc122c4e9701490085adbae
Suckerfish,Animal,1,,,,,,,1,,,,,e06a3036601d191448e317cc05b9d1dc
Tuna,Animal,1,1,,,,,,1,,,,,7cc02226c3825764a81b4001504747f8
Barreleyes,Animal,2,,,,,,,1,,,,,5b09a3f91ce9fa541acf89d7db376a22
Parrotfish,Animal,2,,,,,,,1,,,,,9d2f005ac302fac4c9e36fad381b892b
Sunfish,Animal,2,,,,,,,1,,,,,add17e6b5644647468b52e79e7ea3a7b
Manta Ray,Animal,2,1,,,,,,1,,,,,40a28e3358fb7074e9c849eedf3bcb66
Marlin,Animal,2,1,,,,,,1,,,,,65aa641d3171ac44ea750a752a222c34
Octopus,Animal,2,1,,,,,,1,,,,,377d3ba04378d0945a300d96640b6544
Sea Turtle,Animal,2,1,,,,,,1,,,,,c9117d0575d72a44bac9079eee71e7f8
Anglerfish,Animal,3,,,,,,,1,,,,,f9ac35b612a1c934a8dbb945912a8f29
Clubhook Squid,Animal,3,,,,,,,1,,,,,c2049ee06aebe1649a5b952bc608679b
Mahi-Mahi,Animal,3,,,,,,,1,,,,,7a0a5b3c5120172419d9de56bbaeed2a
Blue Whale,Animal,3,1,,,,,,1,,,,,a9d78d069059a554f900932fc539210a
Bottlenose Dolphin,Animal,3,1,,,,,,1,,,,,1bc37e19ba8522941b41934ad8a93d98
Dugong,Animal,3,1,,,,,,1,,,,,a05fbc53b1801054d9fe5c4ef0bbaf93
Reef Shark,Animal,3,1,,,,,,1,,,,,d8c7f8c7e7628a947934736d86476a55
Surgeon Fish,Animal,3,1,,,,,,1,,,,,3a2be48de37486646ba479a0a129d33b
Great White Shark,Animal,3,1,,,,,,1,,,,,0d6d984ae4580e047a3381000c4e9daf
Bedrock,Mineral,1,,1,,,,,1,,,,,c57a7b85ab2110d4fac1fb656ea13fb1
Chert,Mineral,1,,,,,,,1,,,,1,a956c578802acb644aa4a626057aa7e6
Coral Rock,Mineral,1,,,,,,,1,,,,,05a5ac842864b2049bcb6e1ac28b48b1
Agate,Mineral,1,,1,,,,,1,,,1,1,2ddf303a31cc8564db5e57abaa61e266
Pearls,Mineral,1,1,,,,,,1,,,,,5400f4d3073f80e4696d540df80a39b3
Basalt (Aquatic),Mineral,2,,,,,,,1,,,,,3d8044c724580ed45be8e4d81933d1db
Hydrothermal Vents,Mineral,2,,,,,,,1,,,,,576878d55aa5d5848817242fd6ad92bf
Manganese,Mineral,2,,,,,,,1,,,,,060326766c1c15642acec2d29725e562
Mud Volcano,Mineral,2,1,,,,,,1,,,,,433392e99c9b14f47b10e89757b87ea1
Olivine,Mineral,2,1,,,,,,1,,,,,8f56ad7f404d9dc47b9220a0d81bc1c8
False Trumpet Grounds,Mineral,3,,,,,,,1,,,,,98ca116d624b2154b9239955a07aa25f
Seep Community,Mineral,3,,,,,,,1,,,,,2e3be0de998c5174f8f9965211b6c5d4
Crab Meeting Spot,Mineral,3,1,,,,,,1,,,,,3a01d6d986680a94fba0f9400364723c
Oil (Offshore),Mineral,3,1,,,,,,1,,,,,7e5f4fbe81074dc468f5f6cf2f7eeb13
Shipwreck,Mineral,3,1,,,,,,1,,,,,56915a48dbd7d0b4bb23fb9061e5f8b0
Titan Fall,Mineral,3,1,,,,,,1,,,,,e2e16750d76e3a5408176216d61c302b
Papaya Tree,Plant,1,,1,,,,,,1,,,,d33899eff0cc0d248ae8cfd6a818e80d
Ramón Tree,Plant,1,,1,,,,,,1,,,,d927891766bc2274087d1a2c0fe960f9
Cinchona Tree,Plant,1,,,,,,,,1,,,,b2e4572107af5c24f83674446ad72d1a
Taro,Plant,1,,,,,,,,1,,,,ca236001ab3ec144da405dae25098f20
Banana,Plant,1,1,,,,,,,1,,,,ee343780b467df948bde99e77449aa64
Gumbo-Limbo,Plant,1,1,,,,,,,1,,,,5c6e9a72de843704ebd0da1214dee491
Jabuticaba,Plant,2,,,,,,,,1,,,,42ecd904fc3445342ba1827430be60ca
Kentucky Coffeetree,Plant,2,,,,,,,,1,,1,,f3d68f8ef5098654bb970598eaa48ee1
Pitaya,Plant,2,,,,,,,,1,1,,,40635a4bc94e6e34e96d6a79183f96c2
Rubber Tree,Plant,2,,,,,,,,1,,,,8697f19191e74724e919eea9da6b5bbd
Brazilwood,Plant,2,1,,,,,,,1,,,,2680753bb976d124da04c7dbe9fcdc87
Cassava,Plant,2,1,,,,,,,1,,,,75fe9449b492c5d47a24c1e26f593f54
Hemp,Plant,2,1,,,,,,,1,,,,3a8bc81a09d3c1448a7f7029266ae934
Mango,Plant,2,1,,,,,,,1,,,,77484f1a42da87f4abe7bd989f4b178c
Kapok Tree,Plant,3,,,,,,,,1,,,,51d95c61591f37646b6db783a579e990
Passion Fruit,Plant,3,,,,,,,,1,,,,9e248f6af6c391443a062bf054d2029f
Rambutan,Plant,3,,,,,,,,1,,,,7388de686bdcf8545aec118f21fdfc6d
Cacao Tree,Plant,3,1,,,,,,,1,,,,89274f0c12553d545b7141da84659e2f
Coffea Robusta,Plant,3,1,,,,,,,1,,,,69333ec919b970f4399f68b19f5131ca
Guarana,Plant,3,1,,,,,,,1,,,,5099099f75672984090b9aa316380ddf
Heliconia,Plant,3,1,,,,,,,1,,,,50dd906bb8cdb6241858cdebb43fb5af
Guinea Pig,Animal,1,,1,,,,,,1,,,,e662ffdbff997524894db1a1bc9b7d5f
Pit Viper,Animal,1,,1,,,,,,1,,,,b1c4bcff990e00c4bb697d400bd2843b
Iguana,Animal,1,,,,,,,,1,,,1,3ea25475df80cd248a6a6342c41c94a0
Jungle Fowl,Animal,1,,,,,,,,1,,,,f04be77a8320d45428957b5d7dd02370
Parakeet,Animal,1,,,,,,,,1,1,,,63419f7152b380c4cab12be07f45368f
Squirrel Monkey,Animal,1,,,,,,,,1,,,,904d51b8c4f6e954d8058d8c898eec53
Scarlet Macaw,Animal,1,1,,,,,,,1,,,,2d999f263604f9342b50eeac1ca475b8
Arrau Turtle,Animal,2,,,,,,,,1,,,,d21ad4340519d5545bc98bed1455e792
Spider Monkey,Animal,2,,,,,,,,1,,,,24e0f74e74b8a66488527988107f5449
Tinamou,Animal,2,,,,,,,,1,,,,570d5e9c244f85c4dad74815761b2298
Caiman,Animal,2,1,,,,,,,1,,,1,ff7037a07f1a84d4fa2a33b4cc04b054
Capybara,Animal,2,1,,,,,,,1,,,1,da5c32591dc97d64189244b626aefb6b
Golden Lion Tamarin,Animal,2,1,,,,,,,1,,,,554f057b894c1d24a93429a0c18ef76e
Cougar,Animal,3,,,,,,,,1,,1,,fd978849267776348b3958ac7e8a47f2
Red Howler,Animal,3,,,,,,,,1,,,,a25addecb9581cf48ad521a556af1a49
Toco Toucan,Animal,3,,,,,,,,1,,,,76239f3b3085fb046ac012e7c98c1466
Vinaceous Amazon,Animal,3,,,,,,,,1,,,,0f57530b9cc8bea49a70fa23d99a39f6
Harpy,Animal,3,1,,,,,,,1,,,,5da624644ceb1554280f6992c2b71abf
Jaguar,Animal,3,1,,,,,,,1,,,,f9454ec9ad42e8c48b19e5f7e64a290f
Ocelot,Animal,3,1,,,,,,,1,,,,cd962197c25570e45a30d911b8032c7a
Tapir,Animal,3,1,,,,,,,1,,,,12896c783493aee41852e15163213dbd
Stone,Mineral,1,,1,,,,,,1,,1,,bc38353aa0eca0d40b12f5227a056a07
Amethyst,Mineral,1,,1,,,,,,1,1,,,148bc31802f7c2a4aad17c329736c0c7
Cinnabar,Mineral,1,,,,,,,,1,,,,2573cd2dafadfb345b966151dcf4435f
Flint,Mineral,1,,,,,,,,1,,,,b36f17a4a5e37964baf7e79031c8dfbb
Aquamarine,Mineral,2,,,,,,,,1,,,,0f42535ca7640444daa571904d1e7d18
Mica,Mineral,2,,,,,,,,1,,,,54dfc26d4966cf442b1d5a369f6eebce
Fluorite,Mineral,2,,,,,,,,1,1,,,84d76351b29b9ca429c53629ae578baf
Hematite,Mineral,2,1,,,,,,,1,,,,7b43c24d7c299b24f996bbdfe09a8ce0
Jade (Ritual),Mineral,2,1,,,,,,,1,,,,7bdfb822a68af9149a0f5423264a85e4
Obsidian,Mineral,2,1,,,,,,,1,,,,c335318914388794aa6a6e41a1d13a2c
Bauxite,Mineral,3,,,,,,,,1,,,,3adaf1821bb913a4685464ce3e1cc470
Cobalt,Mineral,3,1,,,,,,,1,,,,bd7397564dec9144689af372d193f6c3
Gold (Legendary),Mineral,3,1,,,,,,,1,,,,3cbc502b7d412c04fb189590c07692c7
Helium,Mineral,3,1,,,,,,,1,,,,b868a2b5f4fb7f5478159a8f45e48120
African Violet,Plant,1,,,,,,,,,1,,,d6771c85c763b2647b488f6daf609ddb
Egusi,Plant,1,,,,,,,,,1,,,f22fcae7e988260438c663f3b41ec36a
Elephant Grass,Plant,1,,,,,,,,,1,,,a4c9623be75f8914fbdcca20b3704d3f
Okra,Plant,1,,,,,,,,,1,,,c7f6ba2a2dc652245851ef87aa7de657
Umbrella Thorn Acacia,Plant,1,1,,,,,,,,1,,,c3edcd64ac30e7d4aa0d31a1e1389ea7
Lion's Ear,Plant,2,,,,,,,,,1,,,2ec365e2f3c8c604dba3ecde3991846f
Red Oat,Plant,2,,,,,1,,,,1,,,0d895fb23dcc4f546ab7c385634a0511
Yam,Plant,2,,,,,,,,,1,,,22ae6f76f0df1c248b78194955da1829
Amaranth,Plant,2,1,,,,,,,,1,,,9b945a8314841df40920e520157a4582
